timestamp,SCE_Hydro
5/1/17,0.516578384
6/1/17,0.483387735
7/1/17,0.500023692
8/1/17,0.430097837
9/1/17,0.342488254
10/1/17,0.247961439
11/1/17,0.251262125
12/1/17,0.227697349
1/1/18,0.20345125
2/1/18,0.211709317
3/1/18,0.270450951
4/1/18,0.425728098
5/1/18,0.400411051
6/1/18,0.381488194
7/1/18,0.384862696
8/1/18,0.350874
9/1/18,0.314716093
10/1/18,0.205771443
11/1/18,0.197371836
12/1/18,0.194541673
1/1/19,0.200506947
2/1/19,0.308021774
3/1/19,0.477272174
4/1/19,0.542877482
5/1/19,0.54990284
6/1/19,0.539134996
7/1/19,0.526860086
8/1/19,0.456466312
9/1/19,0.362131855
10/1/19,0.275677961
11/1/19,0.233622339
12/1/19,0.220541283
1/1/20,0.216175295
2/1/20,0.210428323
3/1/20,0.184522845
4/1/20,0.291878115
5/1/20,0.388218273
6/1/20,0.353855146
7/1/20,0.342540467
8/1/20,0.340353313
9/1/20,0.239782982
10/1/20,0.228375433
11/1/20,0.197958925
12/1/20,0.148455097
